timestamp,layout.data_offset,data[0],data[1],data[2]
1752497244037775624,0.0,0.0,0.0,0.0
1752497244060318040,0.0,0.0,0.0,0.0
1752497244081219040,0.0,0.0,0.0,0.0
1752497244103317249,0.0,0.0,0.0,0.0
1752497244123068540,0.0,0.0,0.0,0.0
1752497244165405457,0.0,0.0,0.0,0.0
1752497244167651124,0.0,0.0,0.0,0.0
1752497244186922790,0.0,0.0,0.0,0.0
1752497244206499957,0.0,0.0,0.0,0.0
1752497244228714373,0.0,0.0,0.0,0.0
1752497244248739623,0.0,0.0,0.0,0.0
1752497244273084915,0.0,0.0,0.0,0.0
1752497244295485707,0.0,0.0,0.0,0.0
1752497244317601457,0.0,0.0,0.0,0.0
1752497244337184207,0.0,0.0,0.0,0.0
1752497244358077123,0.0,0.0,0.0,0.0
1752497244379814040,0.0,0.0,0.0,0.0
1752497244400764540,0.0,0.0,0.0,0.0
1752497244421709457,0.0,0.0,0.0,0.0
1752497244456990290,0.0,0.0,0.0,0.0
1752497244467665790,0.0,0.0,1.0,0.0
1752497244487092748,0.0,0.0,1.0,0.0
1752497244506112332,0.0,0.0,1.0,0.0
1752497244529641123,0.0,1.0,2.0,0.0
1752497244551840665,0.0,1.0,2.0,0.0
1752497244663944540,0.0,1.0,2.0,0.0
1752497244665105082,0.0,1.0,2.0,0.0
1752497244674845665,0.0,1.0,2.0,0.0
1752497244682633082,0.0,1.0,2.0,0.0
1752497244691348290,0.0,1.0,2.0,0.0
1752497244704154415,0.0,1.0,2.0,0.0
1752497244720389623,0.0,1.0,2.0,0.0
1752497244743212749,0.0,1.0,2.0,0.0
1752497244766239957,0.0,1.0,2.0,0.0
1752497244790242082,0.0,1.0,2.0,0.0
1752497244809662874,0.0,1.0,2.0,0.0
1752497244829828582,0.0,1.0,2.0,0.0
1752497244867076290,0.0,0.0,2.0,0.0
1752497244872117915,0.0,0.0,2.0,0.0
1752497244897183207,0.0,0.0,2.0,0.0
1752497244914576165,0.0,0.0,2.0,0.0
1752497244938451790,0.0,1.0,2.0,0.0
1752497244959455749,0.0,1.0,2.0,0.0
1752497244978684748,0.0,1.0,2.0,0.0
1752497245002092582,0.0,0.0,2.0,0.0
1752497245024569540,0.0,0.0,2.0,0.0
1752497245070915373,0.0,0.0,1.0,0.0
1752497245087518624,0.0,0.0,1.0,0.0
1752497245107200457,0.0,0.0,1.0,0.0
